,QueryText,KCCAns
2747,Asking About Market Rate of ONION in LASALGAON market?,"In LASALGAON market -
Market Rate of ONION -Minimum- 400 rupees/qtl and maximum - 1075 rupees/qtl"
2750,ASKING ABOUT WEATHER REPORT TAHSIL?,"Cloudy  Weather, No Possibility of Rain."
2759,Asking about weather forecast  ?,Weather Report- This week weather is CLOUDY and  Possibility of light Rainfall.
2761,Asked about toll free number of national consumer helpline ?,toll free number of national consumer helpline -1800-11-4000.
2762,Asked about Attack of wilt on onion?,Attack of wilt on onion-Drenching of Bavistine 30gm + humic acid 30ml /15lit of Water.
2769,Asked about Attack of aphids on onion?,Attack of aphids on onion-Spray of bio-303 15ml/15 liter water.
2770,FARMER ASKED ABOUT FERTILISER SPRAY FOR GROWTH OF ONION  ?,FERTILISER SPRAY FOR GROWTH OF ONION SPRAY 19 19 19  60  GM + MICROLLA 30 ML+ HUMIC ACID - 30 ML  /15 LITERS OF WATER
2771,ICAR-National Research Centre for Grapes,ICAR-National Research Centre for Grapes Phone: 91-20-26956008
2772,Asking about weather forecast?,This week weather is CLOUDY and Possibility of light Rainfall.
2773,FARMER ASKED ABOUT MARKET RATE OF ?,NASIK MARKET RATE OF ONION - 250-1000	RS/QTL
2775,Asking about weather forecast ?,"This week weather is cloudy,possibility of light to medium rainfall."
2778,Farmer Asking about weather forecast in Malegaon ( Nasik) ?,"Weather forecast in  Malegaon ( Nasik) This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today,s temperature - 22 - 36  degree celsius, wind speed -11  Kilometer/hr"
2779,asking about spraying on drum steak?,DAYS  Actra 1 gm  10 liter water.
2782,Asking about weather forecast?,This week weather is CLOUDY and   Possibility of light Rainfall chances.
2785,Asking About Market Rate of onion ?,Market Rate of onion -  UMRANE	UNHALI	QUINTAL	19500	451	1080 rupees/qtl
2788,Attack of White Grub in sugarcane ?,White Grub in sugarcane  - Drenching of Chloropyriphos 450ml + lesenta 150 gm / 400 liter water  / ekar
2797,BLIGHT ATTACK on onion?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
2798,ASKED ABOUT MARKET RATE OF GRAM?,MARKET RATE OF GRAM - MIN-3525  MAX- 3790   AVERAGE-3649  RS/QUINTAL
2799,FARMER ASKED ABOUT MARKET RATE OF GRAM ?,MARKET RATE OF GRAM  - 3701	3880	/QTL
2800,Attack of Fruit Borer ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
2801,Attack of White Fly On Bhindi ?,White Fly Control- Spray Ullala 8 gm/15 Lit of Water.
2802,Attack of Jassids/Leaf hoppers on brinjal ?,Attack of Jassids/Leaf hoppers on brinjal SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
2805,Asking About Market Rate of ONION in NASHIK market?,"In NASHIK market -
Market Rate of ONION - Minimum- 250 rupees/qtl and maximum - 1000 rupees/qtl"
2810,Asking about weather forecast ?,This week weather is CLOUDY and   Possibility of Rainfall
2812,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLOUDY TEMP -MIN.-23 DEGREE AND MAX.- 34 NO RAINFALL CHANCES.
2814,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLOUDY TEMP -MIN.-23 DEGREE AND MAX.- 34 LIGHT RAINFALL CHANCES.
2816,Asking about weather forecast?,This week weather is mostly clear and  Possibility of Rainfall
2822,Asking about weather forecast?,"Weather forecast: The sky is partly cloudy, there is a possibility of rain in  some places."
2823,Asking about weather forecast ?,This week weather is CLOUDY and   Possibility of Rainfall.
2824,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of light Rainfall
2825,Asking about weather forecast ?,This week weather is CLOUDY and   Possibility of Rainfall .
2826,Asking About Market Rate OF ONION?,Market Rate of ONION FOR SINNAR 100 - 976 rupees/qtl
2830,farmer asking about nimboli ark?,"Neem seeds (completely dried) - 5 kg + water (good and clean) - 100 liters
+ Soap (200 g) + filtrate
Take Nembo (5 Kg) as needed; Pour it into powder and send it in 10 liters of water overnight. Stir the stick with a wooden stick till it becomes white like milk; Strain from double cloth to make it 100 liters + Add 1% soap in it (first Make a soap paste and then mix it in all the water)"
2832,BLIGHT ATTACK ON ONION?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
2833,"Asking about weather forecast in  Yeola, Nashik?","Weather forecast in   Yeola, Nashik This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today's temperature - 22 -35 degree celsius,wind speed -8 kilometer/hr."
2834,asked about varieties of drumstivck ?,VARIETIES OF DRUMSTICK  -MORINGA ODISI PKM-1 PKM-2 CO-1 SIDHIVINAYAK SHEVGA KONKAN RUCHIRA
2838,ASKED ABOUT flower drop in pomogranate?,flower drop in pomogranate-Spray Plano fix 3 ml/15 Lit of Water.(NAA)BAYER
2848,Asking About Weather Forecast?,Today Weather Is Cloudy & No Possibility of Rainfall.
2850,Asking About Market Rate of onion in solapur market?,"In solapur market -
Market Rate of onion -Minimum- 400 rupees/qtl and maximum - 1200 rupees/qtl"
2852,ASKING ABOUT GRAPE REASERCH CENTER PHONE  NO.?,"National Research Centre For Grapes , Manjiri Farm -PUNE - 020 2695 6000G"
2854,ASKING ABOUT CONTROL OF BLIGHT ATTACK ?,Spray Cabriotop 30 gm/15 Liter of Water-metiram (dithiocarbamate) Basf
2855,Asked National Research Centre  Grapes  contact number ?,"National Research Centre For Grapes , Manjiri Farm -PUNE - 020 2695 6000"
2858,ATTACK OF BLIGHT ON ONION?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
2859,Asking about weather forecast ?,THIS WEEK WEATHER IS partially cloudy and  Possibility of Rainfall
2868,ASKED ABOUT MARKET RATE OF ONION ?,"MARKET RATE OF ONION  -400-1200,	951 RS/QUINTAL"
2875,Asked about attack of fungus on bitter gourd ?,Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)
2884,asked about vareities of cluster bean ?,"Pusa Evergreen - It is growing upright and tall and it is recommended for summer and kharif season. These breed pods are 12 to 15 cm long, while the legumes are green, fresh and unbinned. Beginning of groundnut begins 45 to 55 days.
Pusa nayabahar - It gives good yields during both summer and kharif season. Peanuts are of 15cm long greenish green color. There is a direct increase of the trees. The leaf is a ghost of groundnut.
Pusa Seasonal - This product is good for kharif season and the breed of this breed is 10 to 12 cm long and it can be harvested in 75 to 80 days. The beans are attractive, shiny, greenish. In this species, the branches should be broken in a large quantity and the pods reach the top of the main trunk and branches.
Sharad Bahar - The tree is tall, the tree has 10 to 14 branches. Pendants are attractive, soft, rosarous, long-lived. This is suitable for Kharif season."
2886,ASKING ABOUT CONTROLL OF WILT ATTACK  ?,drenching RIDOMIL GOLD (Metalaxyl) 30 GM / 15 LITERS OF WATER. SYNGENTA
2887,Asking About Market Rate of POMEGRANATE?,Market Rate of POMEGRANATE - AVERAGE 5000rupees/qtl
2889,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA
2892,Asking about weather forecast?,This week weather is Partly cloudy and Possibility of light to medium Rainfall.
2893,Asking about weather  forecast ?,This week weather is CLOUDY and Possibility  light Rainfal
2894,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION - 351 TO 1001 RS/QTL
2895,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-16 DEGREE AND MAX.- 29 .NO POSSIBILITY  OF RAINFALL
2904,attack of yellow vein mosaic on papaya ?,attack of yellow vein mosaic on papaya = spray virosol 20gm/15 litre water
2905,attack of sucking pest on chilli?,Spray Confidor 10 ml /15 liter  water (Imidacloprid 17.8 %)
2906,WEED MANAGEMENT ON FALLOW LAND ?,SPRAY MERA 71 100 GM + UREA 100 GM / 15 LITERS OF WATER (Glyphosate 71 SG Ammonium Salt)
2914,Attack of Leaf hoppers on cotton ?,Attack of Leaf hoppers on cotton  - SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
2915,ATTACK OF BLIGHT ON ONION?,Spray Bavistine 30gm/15lit of Water.
2920,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION -300--1111 /QTL
2921,Asking about weather forecast ?,This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.
2928,"Asking about weather forecast of Chandvad, Nashik?","Chandvad, Nashik - This week weather is partly cloudy and  Possibility of Rainfall."
2929,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-23 DEGREE AND MAX.- 36
2937,Asking about weather forecast?,"Thisweek weather is cloudy, possiblity of light rainfall."
2938,ASKED ABOUT FERTILIZER DOSE FOR BRINJAL ?,12 61 00 5 TO 6 KILO / ACRE EACH DOSE FOR CONTINUOUS THREE WEEKS THROUGH DRIP
2944,Asked About SMS Activation?,TO START SMS SERVICE PLEASE TYPE SMS  Kisaan1 AND SEND IT TO 7738299899 .
2950,ASKED ABOUT PHONE NO. Punyashlok Ahilyadevi Mendhi Va Sheli Vikas Prakshtra?,"Punyashlok Ahilyadevi Mendhi Va Sheli Vikas Prakshtra, Padegaon, Dist-Aurangabad- 0240-2370449"
2951,Asking aboutweather forecast?,This week weather is cloudy and light  possibility of light Rainfall .
2953,ASKING ABOUT  FRUIT CROP?,DRENCHING- Chloropyriphos 30 ml+HUMIC ACID 30ML/ DRENCHING Water.
2957,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall .
2959,attack of thrips on okra?,Spray Confidor 10 ml  /15 litar water (Imidacloprid 17.8 %)
2963,Attack of Jassids/Leaf hoppers?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
2965,asked about phone no.of National Research Centre For Grapes ?,"National Research Centre For Grapes , Manjiri Farm -PUNE - 020 2695 6000"
2968,ATTACK OF GRAM POD BORER ON POMOGRANATE ?,SPRAY Spintor 4.5 ML / 15 lit of water (Spinosad 480 SC (45% w/w)- BAYER CROP SCIENCE
2969,ASKED ABOUT MARKET RATE OF ONION  ?,MARKET RATE OF -351 - 1001  RS/QUINTAL
2970,ASKED ABOUT ATTACK OF CATTERPILLER ON BEAN ?,Spray Coragen 5ml/15 Lit of Water.( chlorantraniliprole 18.5% SC) Dupont India
2972,ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION- MIN-150	MAX- 1300   AVERAGE-800  RS/QUINTAL
2974,ASKED ABOUT FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
2978,ASKING ABOUT ONION FERTILIZER DOSE?,SPRAY  19:19:19 60 gram +bioenzyme 20 mili  /15 LIT WATER
2980,Asked about aphids attack on onion ?,Aphids attack on onion  - SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
2981,ASKED ABOUT FERTILIZER DOSE ON POMEGRANATE ?,FERTILIZER DOSE ON POMEGRANATE - 12 61 00 3 KG / ACRE FOR DRIP .
2982,ASKED ABOUT FRUIT CRACKING ON TOMATO ?,"APPLICATION OF BORON 500 GM  +CALCIUM NITRATE 500 GM THROUGH DRIP
SPRAY CALSIBOR 30 GM /15 LITERS OF WATER"
2988,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES.
2990,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY LIGHT RAINFALL CHANCES
2996,Asking About Market Rate of ONION ?,Market Rate of ONION - 331- 1290 rupees/qtl
3000,Attack of Jassids/Leaf hoppers bitter gourd?,BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN
3002,attack of thrips on capsicum?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
3004,FARMER ASKED ABOUT MARKET RATE OF MAIZE?,MARKET RATE OF -1425 RS/QTL
3005,"ASKED ABOUT MARKET RATE OF ONION ?
MARKET RATE OF - RS/QUINTAL",MARKET RATE OF -301-1066 RS/QUINTAL
3008,Asking about weather forecast?,This week weather is Partly cloudy and  Possibility light  of Rainfall.
3009,ASKED ABOUT Wilt Attack ON TOMATO ?,Spray m-45 30 gm in 15 liter water.
3012,ATTACK OF APHIDS ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
3015,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -840 RS/QTL
3017,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF - RS/QTL
3020,Asking about weather forecast ?,This week Cloudy Weather  Rainfall Chances .
3022,Asking About Market Rate of pomogranate ?,Market Rate of pomogranate -7000  rupees/qt.
3026,Asking about weather forecast?,Cloudy Weather Rainfall Chances Today.
3027,Asking about weather forecast?,This week weather is CLEAR SKY and  NO possibility of rainfall.
3032,Attack of Fruit Borer IN CAULIFLOWER  ?,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna
3033,ATTACK ON WILT TOMATO ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
3043,Asked about Market rate of maize?,Market rate of maize-1241-1436/qtl.
3045,Asking about weather forecast ?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK
3047,ASKING ABOUT WEATHER REPORT TAHSIL?,?? ???? ??????? ????? ??????? ?????? ????.
3049,ATTACK OF SUCKING PEST on cucumber?,Spray Regent 20 ml/15 liter water(Fipronil 5 SC)-.BAYER CROP SCIENCE
3050,ASKED ABOUT MARKET RATE OF TURMERIC ?,"MARKET RATE OF turmeric - RS/QUINTAL	
MUMBAI-	9000 - 14000	avearage -13000"
3054,asking about grape reasearch contact number?,"National Research Centre For Grapes , Manjiri Farm -PUNE - 020 2695 6000"
3057,ASKED ABOUT GEOWTH OF POMEGRANTE?,Spray Quinolphos 30 ml / 15 liter water
3060,Farmer Asked About Market Rate onion?,QUINTAL Min -  1000		    Max -1000      Average -	1000
3066,FERTILIZER SPRAY ON PIGEON PEA ?,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
3069,ASKED ABOUT MARKET RATE OF SOYABEAN ?,MARKET RATE OF SOYABEAN -2000 - 3051 RS/QUINTAL
3072,ASKING ABOUT  ATTACK OF RED MITES on tomato ?,Spray Oberon 15ml/15 Liter of Water (benzisothiazolin)Bayer
3073,ONION MARKET RATE ?,ONION MARKET RATE = 500-1100 RS/QTL
3074,Asking About Market Rate of onion ?,Market Rate of onion- 1100 rupees/qtl
3075,ASKING ABOUT ATTACK OF WHITE FLY on tomato?,Spray Pride 07 gm /15 liter of water(Acetamapride 20SP)-Dow agro
3086,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on MERIGOLD ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE
3088,asked about fertilizer dose for bhindi ?,00:52:34 3 kg +microla 300 ml+humic acid 300 ml/acer through drip
3094,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER.
3098,Attack of Fruit Borer on tomato ?,Attack of Fruit Borer on tomato Spray fame  5ml/15 Lit of Water. (Flubendiamide 480 SC )- Bayer Crop Science
3099,ASKED ABOUT ATTACK OF LEAF EATING CATERPILLAR ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
3100,Asking about weather forecast?,"This week weather is cloudy, no possiblity of rainfall."
3102,Asking About Market Rate of MAIZE?,Market Rate - 1420 rupees/qt.
3105,FARMER ASKED ABOUT NUTRIENT MANAGEMENT IN BITTER GOURD ?,NUTRIENT MANAGEMENT IN BITTER GOURD - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER.
3107,Farmer asked about market rate?,"Market price of Maize-
Min- 1200      Max-1441     Average-1420  /quintal"
3109,ASKED ABOUT PHONE NO. OF DAPOLI UNIVERSITY ?,Dr.Balasaheb Sawant Konkan Krishi Vidyapeeth-Dapoli- 02358 282065
3111,FARMER ASKED ABOUT MARKET RATE OF ONION  ?,MARKET RATE OF 400-1201 /QTL
3114,Attack of Thrips?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
3116,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-16 DEGREE AND MAX.- 29
3124,ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF onion for lasalgaon market  -500- 1394 RS/QUINTAL
3125,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK-
3127,Asking about weather forecast ?,?????? ????? -?????? ???????? ??????? ????? ???? ????? ??????? ?????? ????
3128,Attack of Fruit Borer on brinjal ?,"Attack of Fruit Borer on brinjal - spray trizophos + deltamethrin , 2 ml / liter water"
3129,ATTACK OF APHIDS ON ONION?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
3135,Asking about weather forecast ?,"Asking about weather forecast ?   
This week weather is mostly clear and NO Possibility of Rainfall 
?????? ????? -?????? ???????? ??????? ????????????? ????? ??????? ?????? ????"
3143,FARMER ASKED ABOUT MARKET RATE OF onion ?,"MARKET RATE OF onion -1000
 RS/QTL"
3145,ASKED ABOUT MARKET RATE OF ONION?,MARKET RATE OF ONION-1000=1800 RS/QUINTAL
3147,Farmer asked about market rate Cotton ?,"market rate of Cotton -
     min- 5211	   max- 5211      averagre- 5211 /quintal"
3149,asked about fertilizer of onion ?,application of 10 26 26 1.5 bag / acre
3150,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF gram at lasalgaon market- 4001 RS/QTL.
3160,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 31  degrees maximum"
3161,Asked about weed management on onion ?,At this stage of crop herbicides application is not recommended so carry out hand weeding .
3164,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF - 1550 RS/QTL.
3167,Asking About Market Rate of onion in nashik market?,"In nashik market -
Market Rate of onion -Minimum- 400  rupees/qtl and maximum - 1448 rupees/qtl"
3173,ASKED ABOUT MARKET RATE OF MAIZE ?,NAGPUR MARKET RATE OF MAIZE  -1250-1450 RS/QUINTAL
3174,Asking About Market Rate of onion ?,Market Rate of onion = YEOLA	UNHALI	QUINTAL	8000	400	1448  rupees/qtl
3189,Asking about weather forecast ?,"This week weather will remain partly cloudy, there will no possibility of rain."
3190,FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM +MICROLA 30 ML/15 Lit of Water.
3191,FUNGAL ATTACK ?,Spray Actra 5 gm + Bavistine 30gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
3198,ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER.
3205,ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF - 1300RS/QUINTAL
3208,ATTACK OF APHIDS ?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )
3209,ATTACK OF LEAF EATING CATERPILLAR ON ONION ?,LEAF EATING CATERPILLAR ON ONION:- Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna.
3210,Farmer Asked About Market Rate Onion?,"Market rate of onion-
 Min - 200   Max - 1401     Average -800 quintal."
3212,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -1200-1400 RS/QTL
3215,ASKED ABOUT MARKET RATE OF groundnut ?,MARKET RATE OF - 3700RS/QUINTAL
3216,Asking About Market Rate of GROUNDNUT in NASHIK market?,"In NASHIK market -
TODAY Market Rate of GROUNDNUT -Minimum- 3200 rupees/qtl and maximum -4000 rupees/qtl"
3219,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION -800-1800 RS/QTL
3222,ASKED ABOUT SOLAR PUMP ?,"The basic price of the horsepower of ACPC will be 7 lakh 20 thousand rupees.
Center grants 2 lakhs 16 thousand
36 thousand rupees for every state and beneficiary
Loan amount is Rs. 4 lakh 32 thousand."
3223,Asking about weather forecast ?,This week weather is CLEAR SKY and  NO possibility of rainfall .
3226,asked about attack of fungus on tomato ?,attack of fungus on tomato - SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
3228,Asking about weather forecast ?,week weather is CLEAR SKY and  NO possibility of This rainfall.
3229,Asking about weather forecast  ?,"Weather Forecast - The atmosphere will remain partly cloudy in the coming weeks, the temperature will be max. 35 degrees.Min 18 degrees."
3231,Asking about weather forecast  ?,"Weather Forecast - The atmosphere will remain partly cloudy in the coming weeks, the temperature will be max. 33 degrees.Min 19 degrees."
3232,Asking about weather forecast?,"Today weather is mostly clear , No Possibility of Rain"
3234,ASKING ABOUT CONTACT NUMBER OF SOIL TESTING LAB,"District Soil Survey Soil Testing Laboratory, Nasik	MAHARASHTRA	NASIK	NASHIK	Nashik	0253-2592958 / 9420343036"
3236,farmer asking about onion blight ?,for onion blight Spray Blue copper 40 gm /15 liter water.
3242,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
3245,ASKING ABOT VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED
3246,FERTILIZER drenching ON pomegranete ?,FERTILIZER drenching ON pomegranete-drenching 12 61 00-3kilo+ MICROLLA  300 ML /200 LITERS OF WATER.
3254,ASKED ABOUT FRUIT DROP ON COCONUT ?,FRUIT DROP ON COCONUT -APPLICATION OF BORON 500 GM  +CALCIUM NITRATE 500 GM THROUGH DRIP
3255,Asked About SMS Activation?,TO START SMS SERVICE PLEASE TYPE SMS  Kisaan1 AND SEND IT TO 7738299899.
3257,In NASHK market RATE OF POMEGRANATE-,TODAY Market Rate of POMEGRANATE -Minimum-250 rupees/qtl and maximum -7000 rupees/qtl
3263,Farmer Asked About Market Rate OF SOYBEAN ?,SOYBEAN QUINTAL Min -    2500  Max - 3100  Average -3060 RS/QUINTAL
3267,ASKED ABOUT VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
3268,Attack Red Mites on cucumber?,Red Mites on cucumber = spray abacin 6 ml/ 15 liter of water ?
3269,ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION = PUNE 600 - 1400 RS/QUINTAL..
3272,Asking about weather forecast?,This week weather is CLOUDY and LIGHT  Possibility of Rainfall
